Cost,Path,Function-Type,Start,Iteration
1650,"['Devils', 'Rangers', 'Devils', 'Islanders', 'Flyers', 'Penguins', 'Capitals', 'Hurricanes', 'Blue Jackets']",Simple,Devils,52
2045,"['Devils', 'Rangers', 'Islanders', 'Hurricanes', 'Devils', 'Flyers', 'Penguins', 'Blue Jackets', 'Capitals']",Simple,Devils,53
2017,"['Devils', 'Penguins', 'Hurricanes', 'Capitals', 'Rangers', 'Islanders', 'Flyers', 'Devils', 'Blue Jackets']",Simple,Devils,54
1571,"['Devils', 'Rangers', 'Flyers', 'Islanders', 'Devils', 'Hurricanes', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,55
2057,"['Devils', 'Hurricanes', 'Penguins', 'Blue Jackets', 'Devils', 'Flyers', 'Capitals', 'Rangers', 'Islanders']",Simple,Devils,56
1991,"['Devils', 'Islanders', 'Devils', 'Rangers', 'Flyers', 'Blue Jackets', 'Capitals', 'Hurricanes', 'Penguins']",Simple,Devils,57
2301,"['Devils', 'Capitals', 'Islanders', 'Flyers', 'Rangers', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Devils']",Simple,Devils,58
2038,"['Devils', 'Islanders', 'Rangers', 'Flyers', 'Hurricanes', 'Devils', 'Penguins', 'Blue Jackets', 'Capitals']",Simple,Devils,59
2187,"['Devils', 'Hurricanes', 'Capitals', 'Blue Jackets', 'Islanders', 'Rangers', 'Devils', 'Flyers', 'Penguins']",Simple,Devils,60
1719,"['Devils', 'Islanders', 'Rangers', 'Penguins', 'Blue Jackets', 'Capitals', 'Flyers', 'Devils', 'Hurricanes']",Simple,Devils,61
1768,"['Devils', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Islanders', 'Devils', 'Rangers']",Simple,Devils,62
2132,"['Devils', 'Flyers', 'Islanders', 'Capitals', 'Rangers', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Devils']",Simple,Devils,63
1633,"['Devils', 'Capitals', 'Flyers', 'Islanders', 'Rangers', 'Devils', 'Hurricanes', 'Blue Jackets', 'Penguins']",Simple,Devils,64
1745,"['Devils', 'Blue Jackets', 'Penguins', 'Capitals', 'Devils', 'Islanders', 'Rangers', 'Flyers', 'Hurricanes']",Simple,Devils,65
1834,"['Devils', 'Islanders', 'Capitals', 'Blue Jackets', 'Penguins', 'Rangers', 'Devils', 'Flyers', 'Hurricanes']",Simple,Devils,66
1683,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Flyers']",Simple,Devils,67
1907,"['Devils', 'Islanders', 'Rangers', 'Devils', 'Penguins', 'Hurricanes', 'Capitals', 'Flyers', 'Blue Jackets']",Simple,Devils,68
2268,"['Devils', 'Islanders', 'Capitals', 'Rangers', 'Flyers', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Devils']",Simple,Devils,69
1788,"['Devils', 'Flyers', 'Islanders', 'Capitals', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Rangers', 'Devils']",Simple,Devils,70
1784,"['Devils', 'Flyers', 'Devils', 'Islanders', 'Rangers', 'Hurricanes', 'Penguins', 'Blue Jackets', 'Capitals']",Simple,Devils,71
1467,"['Devils', 'Islanders', 'Rangers', 'Flyers', 'Devils', 'Penguins', 'Blue Jackets', 'Capitals', 'Hurricanes']",Simple,Devils,72
1829,"['Devils', 'Flyers', 'Capitals', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,73
1573,"['Devils', 'Islanders', 'Flyers', 'Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Capitals', 'Hurricanes']",Simple,Devils,74
1857,"['Devils', 'Islanders', 'Devils', 'Rangers', 'Capitals', 'Flyers', 'Penguins', 'Blue Jackets', 'Hurricanes']",Simple,Devils,75
