Cost,Path,Function-Type,Start
4720,"['Bruins', 'Canadiens', 'Senators', 'Sabres', 'Panthers', 'Lightning', 'Maple Leafs', 'Red Wings', 'Bruins']",Simple,Bruins
4480,"['Bruins', 'Senators', 'Maple Leafs', 'Sabres', 'Red Wings', 'Lightning', 'Panthers', 'Canadiens', 'Bruins']",Simple,Bruins
5737,"['Bruins', 'Lightning', 'Sabres', 'Canadiens', 'Senators', 'Bruins', 'Maple Leafs', 'Red Wings', 'Panthers']",Simple,Bruins
3775,"['Bruins', 'Canadiens', 'Senators', 'Sabres', 'Maple Leafs', 'Bruins', 'Red Wings', 'Panthers', 'Lightning']",Simple,Bruins
5214,"['Bruins', 'Canadiens', 'Senators', 'Maple Leafs', 'Sabres', 'Bruins', 'Lightning', 'Red Wings', 'Panthers']",Simple,Bruins
4828,"['Bruins', 'Senators', 'Bruins', 'Canadiens', 'Sabres', 'Red Wings', 'Panthers', 'Lightning', 'Maple Leafs']",Simple,Bruins
5211,"['Bruins', 'Lightning', 'Panthers', 'Maple Leafs', 'Bruins', 'Canadiens', 'Sabres', 'Senators', 'Red Wings']",Simple,Bruins
5342,"['Bruins', 'Red Wings', 'Panthers', 'Lightning', 'Bruins', 'Maple Leafs', 'Canadiens', 'Sabres', 'Senators']",Simple,Bruins
4399,"['Bruins', 'Red Wings', 'Canadiens', 'Bruins', 'Sabres', 'Senators', 'Maple Leafs', 'Panthers', 'Lightning']",Simple,Bruins
4675,"['Bruins', 'Lightning', 'Panthers', 'Canadiens', 'Bruins', 'Senators', 'Sabres', 'Maple Leafs', 'Red Wings']",Simple,Bruins
4951,"['Bruins', 'Panthers', 'Lightning', 'Senators', 'Bruins', 'Sabres', 'Red Wings', 'Maple Leafs', 'Canadiens']",Simple,Bruins
4538,"['Bruins', 'Senators', 'Maple Leafs', 'Sabres', 'Red Wings', 'Panthers', 'Lightning', 'Canadiens', 'Bruins']",Simple,Bruins
5039,"['Bruins', 'Red Wings', 'Panthers', 'Lightning', 'Maple Leafs', 'Senators', 'Sabres', 'Canadiens', 'Bruins']",Simple,Bruins
5724,"['Bruins', 'Panthers', 'Red Wings', 'Maple Leafs', 'Sabres', 'Bruins', 'Senators', 'Canadiens', 'Lightning']",Simple,Bruins
4782,"['Bruins', 'Canadiens', 'Red Wings', 'Lightning', 'Panthers', 'Senators', 'Maple Leafs', 'Sabres', 'Bruins']",Simple,Bruins
5188,"['Bruins', 'Red Wings', 'Sabres', 'Senators', 'Lightning', 'Panthers', 'Bruins', 'Canadiens', 'Maple Leafs']",Simple,Bruins
4525,"['Bruins', 'Senators', 'Canadiens', 'Bruins', 'Sabres', 'Red Wings', 'Lightning', 'Panthers', 'Maple Leafs']",Simple,Bruins
4209,"['Bruins', 'Senators', 'Canadiens', 'Bruins', 'Lightning', 'Panthers', 'Sabres', 'Maple Leafs', 'Red Wings']",Simple,Bruins
3618,"['Bruins', 'Maple Leafs', 'Red Wings', 'Sabres', 'Canadiens', 'Senators', 'Bruins', 'Lightning', 'Panthers']",Simple,Bruins
4066,"['Bruins', 'Canadiens', 'Red Wings', 'Bruins', 'Senators', 'Sabres', 'Maple Leafs', 'Lightning', 'Panthers']",Simple,Bruins
4619,"['Bruins', 'Panthers', 'Lightning', 'Canadiens', 'Senators', 'Maple Leafs', 'Red Wings', 'Sabres', 'Bruins']",Simple,Bruins
3857,"['Bruins', 'Sabres', 'Red Wings', 'Senators', 'Canadiens', 'Maple Leafs', 'Bruins', 'Lightning', 'Panthers']",Simple,Bruins
3416,"['Bruins', 'Senators', 'Canadiens', 'Bruins', 'Maple Leafs', 'Sabres', 'Red Wings', 'Panthers', 'Lightning']",Simple,Bruins
4798,"['Bruins', 'Red Wings', 'Senators', 'Maple Leafs', 'Bruins', 'Sabres', 'Canadiens', 'Panthers', 'Lightning']",Simple,Bruins
4402,"['Bruins', 'Canadiens', 'Bruins', 'Panthers', 'Lightning', 'Sabres', 'Red Wings', 'Maple Leafs', 'Senators']",Simple,Bruins
4924,"['Bruins', 'Sabres', 'Red Wings', 'Maple Leafs', 'Senators', 'Lightning', 'Panthers', 'Canadiens', 'Bruins']",Simple,Bruins
5177,"['Bruins', 'Senators', 'Maple Leafs', 'Canadiens', 'Lightning', 'Panthers', 'Sabres', 'Red Wings', 'Bruins']",Simple,Bruins
4737,"['Bruins', 'Sabres', 'Red Wings', 'Panthers', 'Lightning', 'Bruins', 'Maple Leafs', 'Canadiens', 'Senators']",Simple,Bruins
4699,"['Bruins', 'Canadiens', 'Bruins', 'Sabres', 'Senators', 'Maple Leafs', 'Lightning', 'Panthers', 'Red Wings']",Simple,Bruins
5053,"['Bruins', 'Maple Leafs', 'Canadiens', 'Bruins', 'Panthers', 'Lightning', 'Sabres', 'Senators', 'Red Wings']",Simple,Bruins
4584,"['Bruins', 'Senators', 'Canadiens', 'Red Wings', 'Sabres', 'Maple Leafs', 'Panthers', 'Lightning', 'Bruins']",Simple,Bruins
5321,"['Bruins', 'Maple Leafs', 'Senators', 'Panthers', 'Lightning', 'Red Wings', 'Canadiens', 'Sabres', 'Bruins']",Simple,Bruins
5515,"['Bruins', 'Maple Leafs', 'Senators', 'Red Wings', 'Bruins', 'Canadiens', 'Panthers', 'Lightning', 'Sabres']",Simple,Bruins
5306,"['Bruins', 'Maple Leafs', 'Red Wings', 'Canadiens', 'Sabres', 'Panthers', 'Lightning', 'Senators', 'Bruins']",Simple,Bruins
4776,"['Bruins', 'Lightning', 'Panthers', 'Red Wings', 'Canadiens', 'Senators', 'Bruins', 'Maple Leafs', 'Sabres']",Simple,Bruins
3927,"['Bruins', 'Senators', 'Red Wings', 'Sabres', 'Maple Leafs', 'Bruins', 'Canadiens', 'Lightning', 'Panthers']",Simple,Bruins
4570,"['Bruins', 'Senators', 'Sabres', 'Maple Leafs', 'Red Wings', 'Panthers', 'Lightning', 'Canadiens', 'Bruins']",Simple,Bruins
5210,"['Bruins', 'Canadiens', 'Red Wings', 'Bruins', 'Panthers', 'Lightning', 'Sabres', 'Senators', 'Maple Leafs']",Simple,Bruins
4579,"['Bruins', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Sabres', 'Lightning', 'Panthers', 'Bruins', 'Senators']",Simple,Bruins
4525,"['Bruins', 'Senators', 'Sabres', 'Maple Leafs', 'Canadiens', 'Bruins', 'Lightning', 'Panthers', 'Red Wings']",Simple,Bruins
3744,"['Bruins', 'Canadiens', 'Bruins', 'Red Wings', 'Maple Leafs', 'Sabres', 'Senators', 'Lightning', 'Panthers']",Simple,Bruins
5468,"['Bruins', 'Red Wings', 'Bruins', 'Sabres', 'Lightning', 'Panthers', 'Senators', 'Canadiens', 'Maple Leafs']",Simple,Bruins
4402,"['Bruins', 'Canadiens', 'Senators', 'Bruins', 'Sabres', 'Panthers', 'Lightning', 'Red Wings', 'Maple Leafs']",Simple,Bruins
4859,"['Bruins', 'Sabres', 'Red Wings', 'Panthers', 'Lightning', 'Senators', 'Canadiens', 'Maple Leafs', 'Bruins']",Simple,Bruins
4248,"['Bruins', 'Maple Leafs', 'Sabres', 'Bruins', 'Red Wings', 'Canadiens', 'Senators', 'Lightning', 'Panthers']",Simple,Bruins
5043,"['Bruins', 'Maple Leafs', 'Canadiens', 'Bruins', 'Sabres', 'Red Wings', 'Panthers', 'Lightning', 'Senators']",Simple,Bruins
4295,"['Bruins', 'Senators', 'Canadiens', 'Sabres', 'Maple Leafs', 'Red Wings', 'Panthers', 'Lightning', 'Bruins']",Simple,Bruins
5313,"['Bruins', 'Canadiens', 'Senators', 'Maple Leafs', 'Red Wings', 'Sabres', 'Lightning', 'Bruins', 'Panthers']",Simple,Bruins
5374,"['Bruins', 'Red Wings', 'Maple Leafs', 'Senators', 'Panthers', 'Lightning', 'Canadiens', 'Bruins', 'Sabres']",Simple,Bruins
3811,"['Bruins', 'Senators', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Bruins', 'Sabres', 'Lightning', 'Panthers']",Simple,Bruins
4456,"['Bruins', 'Senators', 'Bruins', 'Canadiens', 'Maple Leafs', 'Sabres', 'Panthers', 'Lightning', 'Red Wings']",Simple,Bruins
4749,"['Bruins', 'Red Wings', 'Lightning', 'Panthers', 'Bruins', 'Canadiens', 'Sabres', 'Maple Leafs', 'Senators']",Simple,Bruins
4277,"['Bruins', 'Canadiens', 'Sabres', 'Bruins', 'Red Wings', 'Senators', 'Maple Leafs', 'Lightning', 'Panthers']",Simple,Bruins
5633,"['Bruins', 'Maple Leafs', 'Canadiens', 'Sabres', 'Panthers', 'Lightning', 'Senators', 'Red Wings', 'Bruins']",Simple,Bruins
4774,"['Bruins', 'Sabres', 'Red Wings', 'Maple Leafs', 'Senators', 'Lightning', 'Panthers', 'Bruins', 'Canadiens']",Simple,Bruins
4000,"['Bruins', 'Senators', 'Sabres', 'Red Wings', 'Bruins', 'Canadiens', 'Maple Leafs', 'Lightning', 'Panthers']",Simple,Bruins
4562,"['Bruins', 'Maple Leafs', 'Canadiens', 'Senators', 'Sabres', 'Red Wings', 'Lightning', 'Panthers', 'Bruins']",Simple,Bruins
4255,"['Bruins', 'Sabres', 'Canadiens', 'Maple Leafs', 'Senators', 'Bruins', 'Red Wings', 'Panthers', 'Lightning']",Simple,Bruins
4688,"['Bruins', 'Lightning', 'Panthers', 'Red Wings', 'Senators', 'Canadiens', 'Sabres', 'Maple Leafs', 'Bruins']",Simple,Bruins
4533,"['Bruins', 'Canadiens', 'Senators', 'Sabres', 'Red Wings', 'Lightning', 'Panthers', 'Bruins', 'Maple Leafs']",Simple,Bruins
4523,"['Bruins', 'Sabres', 'Panthers', 'Lightning', 'Red Wings', 'Maple Leafs', 'Bruins', 'Canadiens', 'Senators']",Simple,Bruins
3808,"['Bruins', 'Sabres', 'Bruins', 'Canadiens', 'Maple Leafs', 'Senators', 'Red Wings', 'Lightning', 'Panthers']",Simple,Bruins
4806,"['Bruins', 'Lightning', 'Panthers', 'Red Wings', 'Sabres', 'Canadiens', 'Bruins', 'Maple Leafs', 'Senators']",Simple,Bruins
4505,"['Bruins', 'Lightning', 'Panthers', 'Red Wings', 'Senators', 'Canadiens', 'Bruins', 'Sabres', 'Maple Leafs']",Simple,Bruins
5284,"['Bruins', 'Maple Leafs', 'Senators', 'Canadiens', 'Lightning', 'Panthers', 'Sabres', 'Bruins', 'Red Wings']",Simple,Bruins
5154,"['Bruins', 'Red Wings', 'Senators', 'Canadiens', 'Panthers', 'Lightning', 'Maple Leafs', 'Sabres', 'Bruins']",Simple,Bruins
5303,"['Bruins', 'Canadiens', 'Senators', 'Maple Leafs', 'Sabres', 'Red Wings', 'Panthers', 'Bruins', 'Lightning']",Simple,Bruins
4398,"['Bruins', 'Maple Leafs', 'Senators', 'Red Wings', 'Bruins', 'Canadiens', 'Sabres', 'Panthers', 'Lightning']",Simple,Bruins
4528,"['Bruins', 'Maple Leafs', 'Panthers', 'Lightning', 'Red Wings', 'Sabres', 'Senators', 'Canadiens', 'Bruins']",Simple,Bruins
4938,"['Bruins', 'Sabres', 'Red Wings', 'Bruins', 'Panthers', 'Lightning', 'Maple Leafs', 'Senators', 'Canadiens']",Simple,Bruins
