Cost,Path,Function-Type,Start
7071,"['Jets', 'Blues', 'Wild', 'Jets', 'Blackhawks', 'Avalanche', 'Stars', 'Predators', 'Coyotes']",Simple,Jets
6207,"['Jets', 'Avalanche', 'Coyotes', 'Stars', 'Blues', 'Predators', 'Wild', 'Blackhawks', 'Jets']",Simple,Jets
7995,"['Jets', 'Predators', 'Avalanche', 'Blues', 'Stars', 'Coyotes', 'Wild', 'Jets', 'Blackhawks']",Simple,Jets
6720,"['Jets', 'Blues', 'Blackhawks', 'Predators', 'Wild', 'Stars', 'Coyotes', 'Avalanche', 'Jets']",Simple,Jets
6224,"['Jets', 'Stars', 'Blues', 'Predators', 'Wild', 'Jets', 'Blackhawks', 'Avalanche', 'Coyotes']",Simple,Jets
6971,"['Jets', 'Predators', 'Coyotes', 'Stars', 'Blues', 'Blackhawks', 'Wild', 'Jets', 'Avalanche']",Simple,Jets
6382,"['Jets', 'Predators', 'Blackhawks', 'Jets', 'Wild', 'Avalanche', 'Coyotes', 'Stars', 'Blues']",Simple,Jets
7113,"['Jets', 'Blues', 'Blackhawks', 'Wild', 'Stars', 'Coyotes', 'Avalanche', 'Jets', 'Predators']",Simple,Jets
5995,"['Jets', 'Wild', 'Blackhawks', 'Blues', 'Coyotes', 'Avalanche', 'Stars', 'Predators', 'Jets']",Simple,Jets
5737,"['Jets', 'Blues', 'Predators', 'Blackhawks', 'Jets', 'Wild', 'Avalanche', 'Coyotes', 'Stars']",Simple,Jets
7002,"['Jets', 'Wild', 'Jets', 'Coyotes', 'Stars', 'Blackhawks', 'Blues', 'Avalanche', 'Predators']",Simple,Jets
6113,"['Jets', 'Wild', 'Stars', 'Predators', 'Blackhawks', 'Blues', 'Coyotes', 'Avalanche', 'Jets']",Simple,Jets
6265,"['Jets', 'Wild', 'Blackhawks', 'Predators', 'Blues', 'Avalanche', 'Stars', 'Coyotes', 'Jets']",Simple,Jets
6493,"['Jets', 'Blackhawks', 'Wild', 'Jets', 'Avalanche', 'Coyotes', 'Predators', 'Stars', 'Blues']",Simple,Jets
6642,"['Jets', 'Stars', 'Avalanche', 'Coyotes', 'Blues', 'Predators', 'Wild', 'Jets', 'Blackhawks']",Simple,Jets
7062,"['Jets', 'Avalanche', 'Coyotes', 'Predators', 'Stars', 'Wild', 'Blues', 'Blackhawks', 'Jets']",Simple,Jets
6545,"['Jets', 'Wild', 'Stars', 'Avalanche', 'Coyotes', 'Jets', 'Blues', 'Predators', 'Blackhawks']",Simple,Jets
7510,"['Jets', 'Predators', 'Coyotes', 'Blues', 'Blackhawks', 'Wild', 'Jets', 'Avalanche', 'Stars']",Simple,Jets
6846,"['Jets', 'Predators', 'Blackhawks', 'Wild', 'Blues', 'Avalanche', 'Coyotes', 'Stars', 'Jets']",Simple,Jets
7290,"['Jets', 'Predators', 'Wild', 'Blues', 'Jets', 'Blackhawks', 'Stars', 'Avalanche', 'Coyotes']",Simple,Jets
6490,"['Jets', 'Stars', 'Coyotes', 'Avalanche', 'Jets', 'Blackhawks', 'Predators', 'Blues', 'Wild']",Simple,Jets
7412,"['Jets', 'Predators', 'Blues', 'Stars', 'Blackhawks', 'Wild', 'Avalanche', 'Coyotes', 'Jets']",Simple,Jets
6637,"['Jets', 'Avalanche', 'Coyotes', 'Stars', 'Jets', 'Predators', 'Blues', 'Blackhawks', 'Wild']",Simple,Jets
