Cost,Path,Function-Type,Start,Iteration 
5742,"['Golden Knights', 'Sharks', 'Canucks', 'Flames', 'Oilers', 'Kings', 'Golden Knights', 'Ducks', 'Kraken']",Simple,Golden Knights,65
6052,"['Golden Knights', 'Ducks', 'Kings', 'Golden Knights', 'Canucks', 'Oilers', 'Sharks', 'Flames', 'Kraken']",Simple,Golden Knights,66
4745,"['Golden Knights', 'Sharks', 'Kraken', 'Canucks', 'Kings', 'Ducks', 'Golden Knights', 'Oilers', 'Flames']",Simple,Golden Knights,67
3378,"['Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Canucks', 'Oilers', 'Flames', 'Kraken', 'Golden Knights']",Simple,Golden Knights,68
4370,"['Golden Knights', 'Sharks', 'Golden Knights', 'Kings', 'Ducks', 'Flames', 'Kraken', 'Canucks', 'Oilers']",Simple,Golden Knights,69
5330,"['Golden Knights', 'Ducks', 'Kraken', 'Golden Knights', 'Kings', 'Oilers', 'Flames', 'Canucks', 'Sharks']",Simple,Golden Knights,70
5264,"['Golden Knights', 'Oilers', 'Canucks', 'Flames', 'Kraken', 'Sharks', 'Ducks', 'Golden Knights', 'Kings']",Simple,Golden Knights,71
5711,"['Golden Knights', 'Sharks', 'Ducks', 'Kraken', 'Kings', 'Golden Knights', 'Flames', 'Oilers', 'Canucks']",Simple,Golden Knights,72
4493,"['Golden Knights', 'Canucks', 'Kraken', 'Flames', 'Oilers', 'Sharks', 'Ducks', 'Kings', 'Golden Knights']",Simple,Golden Knights,73
4738,"['Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Canucks', 'Ducks', 'Sharks', 'Kings', 'Golden Knights']",Simple,Golden Knights,74
4995,"['Golden Knights', 'Sharks', 'Kings', 'Oilers', 'Canucks', 'Flames', 'Kraken', 'Golden Knights', 'Ducks']",Simple,Golden Knights,75
4514,"['Golden Knights', 'Sharks', 'Kraken', 'Canucks', 'Oilers', 'Flames', 'Ducks', 'Golden Knights', 'Kings']",Simple,Golden Knights,76
4878,"['Golden Knights', 'Sharks', 'Oilers', 'Flames', 'Kraken', 'Canucks', 'Ducks', 'Golden Knights', 'Kings']",Simple,Golden Knights,77
5407,"['Golden Knights', 'Canucks', 'Flames', 'Oilers', 'Sharks', 'Kings', 'Kraken', 'Golden Knights', 'Ducks']",Simple,Golden Knights,78
6335,"['Golden Knights', 'Oilers', 'Kings', 'Sharks', 'Ducks', 'Golden Knights', 'Canucks', 'Kraken', 'Flames']",Simple,Golden Knights,79
4858,"['Golden Knights', 'Kraken', 'Canucks', 'Oilers', 'Flames', 'Ducks', 'Golden Knights', 'Sharks', 'Kings']",Simple,Golden Knights,80
5599,"['Golden Knights', 'Ducks', 'Sharks', 'Kings', 'Oilers', 'Kraken', 'Canucks', 'Flames', 'Golden Knights']",Simple,Golden Knights,81
4575,"['Golden Knights', 'Sharks', 'Canucks', 'Kraken', 'Flames', 'Oilers', 'Ducks', 'Kings', 'Golden Knights']",Simple,Golden Knights,82
4300,"['Golden Knights', 'Ducks', 'Kings', 'Sharks', 'Golden Knights', 'Kraken', 'Flames', 'Canucks', 'Oilers']",Simple,Golden Knights,83
5716,"['Golden Knights', 'Kraken', 'Golden Knights', 'Ducks', 'Canucks', 'Flames', 'Oilers', 'Kings', 'Sharks']",Simple,Golden Knights,84
4932,"['Golden Knights', 'Sharks', 'Ducks', 'Kings', 'Oilers', 'Flames', 'Kraken', 'Golden Knights', 'Canucks']",Simple,Golden Knights,85
5035,"['Golden Knights', 'Ducks', 'Golden Knights', 'Canucks', 'Kraken', 'Sharks', 'Kings', 'Oilers', 'Flames']",Simple,Golden Knights,86
6371,"['Golden Knights', 'Kraken', 'Kings', 'Golden Knights', 'Ducks', 'Canucks', 'Oilers', 'Flames', 'Sharks']",Simple,Golden Knights,87
4812,"['Golden Knights', 'Sharks', 'Kings', 'Golden Knights', 'Ducks', 'Canucks', 'Flames', 'Kraken', 'Oilers']",Simple,Golden Knights,88
